1 4 6 0
9 6 5 5 5 4
0 20 40 60 80 100
0 10 22 34 47 60 73 86 100
0 20 40 60 80 100
0 25 50 75 100
0 25 50 75 100
0 25 50 75 100
0 33 66 100
 96.83	  0.46	 -0.11	
 90.64	 10.44	 -2.62	
 83.22	 22.52	 -4.83	
 76.91	 32.14	 -5.67	
 70.65	 42.28	 -5.75	
 62.76	 55.45	 -4.97	
 57.04	 63.12	 -1.99	
 51.75	 68.05	  3.17	
 47.73	 69.32	  8.51	
 92.01	 -5.51	 -5.92	
 86.27	  3.95	 -8.09	
 79.03	 15.47	-10.29	
 72.69	 24.42	-11.34	
 65.90	 33.71	-12.06	
 57.86	 43.90	-12.30	
 51.58	 50.99	-10.81	
 45.96	 53.98	 -6.90	
 41.64	 54.92	 -2.20	
 85.75	-12.60	-13.43	
 80.48	 -3.69	-15.24	
 74.12	  7.02	-16.54	
 67.99	 15.34	-17.64	
 61.25	 22.69	-18.51	
 53.14	 32.42	-19.60	
 46.36	 39.07	-18.94	
 40.75	 42.57	-15.10	
 36.37	 43.50	-10.12	
 80.08	-18.11	-19.82	
 75.25	 -9.54	-21.07	
 69.45	  0.62	-21.85	
 63.47	  8.42	-22.71	
 57.70	 15.96	-22.98	
 49.51	 25.29	-24.21	
 43.07	 31.16	-23.63	
 37.11	 34.99	-20.12	
 33.54	 36.06	-14.97	
 74.55	-22.50	-26.00	
 70.29	-14.15	-26.65	
 64.53	 -4.52	-27.36	
 59.13	  3.06	-27.68	
 53.01	 11.32	-28.31	
 46.27	 19.98	-28.44	
 39.73	 25.90	-27.92	
 34.39	 29.99	-24.64	
 30.77	 31.29	-19.15	
 68.00	-27.52	-33.24	
 64.14	-20.34	-33.72	
 59.48	-11.03	-33.10	
 54.62	 -2.99	-32.87	
 49.05	  5.02	-32.99	
 43.25	 14.37	-32.54	
 37.92	 20.72	-30.92	
 32.48	 24.28	-26.97	
 27.93	 25.82	-22.64	
 61.77	-29.27	-38.91	
 59.28	-22.96	-38.06	
 54.74	-14.83	-37.67	
 50.65	 -7.58	-36.89	
 46.02	  0.09	-36.00	
 40.20	 10.07	-35.77	
 35.36	 15.91	-33.17	
 31.06	 20.42	-29.60	
 26.49	 21.66	-24.64	
 55.74	-28.34	-42.42	
 53.92	-23.32	-41.69	
 50.21	-15.79	-40.80	
 46.33	 -8.88	-40.10	
 42.12	 -2.07	-38.94	
 37.70	  6.47	-37.88	
 33.07	 12.98	-35.51	
 28.55	 17.21	-31.85	
 24.20	 18.47	-26.15	
 50.82	-25.51	-45.07	
 48.61	-21.10	-44.49	
 45.47	-14.93	-43.26	
 42.40	 -8.49	-42.15	
 38.58	 -2.30	-41.09	
 34.95	  5.51	-39.57	
 30.79	 11.50	-36.94	
 26.57	 15.49	-33.09	
 22.57	 15.93	-27.05	
 96.38	 -1.76	  8.71	
 90.16	  8.77	  5.23	
 82.69	 21.36	  1.85	
 76.65	 31.24	 -0.21	
 70.03	 41.85	 -1.03	
 62.84	 54.02	 -1.43	
 56.82	 62.88	  0.51	
 51.58	 67.67	  5.35	
 47.57	 69.14	 10.35	
 91.43	 -8.03	  2.63	
 85.77	  1.71	 -0.40	
 78.39	 13.96	 -3.66	
 71.85	 23.68	 -6.18	
 65.43	 32.59	 -7.43	
 57.31	 42.78	 -9.21	
 50.74	 50.29	 -8.06	
 45.52	 53.19	 -5.08	
 41.70	 54.57	 -0.65	
 85.14	-15.88	 -5.44	
 79.94	 -6.54	 -7.80	
 73.14	  4.76	-10.40	
 66.64	 13.58	-13.11	
 59.94	 22.42	-14.70	
 52.41	 31.63	-16.69	
 45.68	 38.28	-16.36	
 40.14	 42.16	-12.76	
 35.86	 42.86	 -7.86	
 79.68	-21.44	-12.06	
 74.60	-12.93	-14.26	
 68.56	 -2.30	-16.12	
 62.75	  6.48	-18.07	
 56.23	 14.58	-19.73	
 49.10	 24.10	-21.04	
 42.72	 29.91	-20.76	
 37.41	 34.37	-17.93	
 33.25	 36.41	-13.52	
 74.11	-26.22	-18.52	
 69.69	-18.02	-20.14	
 64.10	 -7.81	-21.37	
 58.86	  0.70	-22.76	
 53.09	  8.61	-23.55	
 45.90	 18.13	-25.15	
 39.56	 24.42	-24.89	
 34.42	 29.16	-21.98	
 30.36	 30.33	-17.08	
 67.38	-31.19	-26.10	
 64.02	-23.93	-26.89	
 58.97	-14.32	-27.29	
 54.48	 -6.03	-27.77	
 49.23	  2.36	-28.48	
 43.08	 12.05	-28.77	
 37.93	 18.92	-27.65	
 31.91	 23.52	-25.22	
 28.19	 25.14	-20.20	
 62.01	-32.91	-31.56	
 58.73	-26.54	-32.24	
 54.18	-17.97	-32.79	
 49.79	 -9.89	-32.97	
 45.44	 -2.20	-32.89	
 39.71	  8.06	-32.32	
 35.09	 14.72	-30.85	
 30.92	 19.99	-27.52	
 26.70	 21.40	-22.45	
 56.16	-32.62	-36.69	
 53.28	-26.77	-36.30	
 49.69	-18.99	-36.01	
 46.28	-12.03	-35.72	
 41.64	 -3.74	-35.64	
 37.25	  4.92	-34.50	
 32.52	 11.44	-33.11	
 28.25	 16.69	-29.81	
 24.42	 17.67	-24.46	
 50.65	-29.48	-39.25	
 48.60	-24.77	-38.98	
 45.71	-18.47	-38.16	
